key,tourn,round,player.id,match.id,seed,seeded,name,Sets.Played,Tie.Breaks.Played,Total.Games,Winners,Return.Games.Won,Server.Points.Won,Total.Points,First.Serves.In,Total.Aces,Total.Double.Faults,First.Serve.Pts.Won,Pct.1stt.Serve.In,Unforced.Errors,Winning.Pct.on.1st.Serve,Winning.Pct.on.2nd.Serve,Receiving.Points.Won,Break.Point.Conversions,Net.Approaches,Total.Points.Won,Fastest.Serve.Speed,Average.1st.Serve.Speed,Average.2nd.Serve.Speed,W.UE,RPW.TPW,W.minus.Aces,SPW.TPW,match.type,year,won
2149.AUS.2012,AUS,1,190787,2149,6,Seeded,Samantha Stosur,2,1,22,12,3,40,64,56,3,3,29,69,33,52,44,38,50,60,64,110.604038,96.312505,84.506456,0.363636364,0.59375,9,0.625,2,1,0
2144.AUS.2012,AUS,1,190873,2144,0,Not Seeded,Chanelle Scheepers,3,0,24,15,4,40,73,49,0,9,26,57,36,53,38,44,44,53,73,103.147586,89.477424,79.535488,0.416666667,0.602739726,15,0.547945205,2,1,0
2139.AUS.2012,AUS,1,190879,2139,0,Not Seeded,Barbora Zahlavova,2,0,16,1,6,34,63,41,1,4,25,71,4,61,53,60,55,NA,63,NA,NA,NA,0.25,0.952380952,0,0.53968254,2,1,1
2135.AUS.2012,AUS,1,200137,2135,0,Not Seeded,Tamarine Tanasugarn,3,0,20,11,3,33,56,47,0,4,23,63,47,49,36,40,60,75,56,94.448392,83.263714,76.428633,0.234042553,0.714285714,11,0.589285714,2,0,0
2153.AUS.2012,AUS,1,220214,2153,23,Seeded,Roberta Vinci,2,0,13,2,5,28,51,29,2,0,24,78,0,83,50,72,56,NA,51,NA,NA,NA,Inf,1.411764706,0,0.549019608,2,1,1
2140.AUS.2012,AUS,1,230234,2140,12,Seeded,Serena Williams,2,0,17,34,3,37,61,34,12,1,25,67,26,74,71,45,30,73,61,116.817748,105.011699,83.885085,1.307692308,0.737704918,22,0.606557377,2,1,1
2133.AUS.2012,AUS,1,260142,2133,7,Seeded,Vera Zvonareva,3,2,35,25,7,71,126,81,2,9,54,66,57,67,40,47,50,88,126,103.768957,92.584279,77.050004,0.438596491,0.373015873,23,0.563492063,2,1,1
2154.AUS.2012,AUS,1,260144,2154,0,Not Seeded,Jie Zheng,2,0,15,6,5,32,57,31,0,3,23,67,17,74,60,54,63,100,57,103.768957,94.448392,78.914117,0.352941176,0.947368421,6,0.561403509,2,1,1
2130.AUS.2012,AUS,1,310112,2130,0,Not Seeded,Sania Mirza,2,0,18,16,3,28,58,39,2,3,20,62,36,51,33,44,43,50,58,102.526215,88.234682,75.185891,0.444444444,0.75862069,14,0.482758621,2,0,0
2148.AUS.2012,AUS,1,310137,2148,4,Seeded,Maria Sharapova,2,0,13,14,6,29,54,24,3,5,16,55,16,67,65,74,67,100,54,106.254441,95.691134,90.720166,0.875,1.37037037,11,0.537037037,2,1,1
2161.AUS.2012,AUS,1,310169,2161,0,Not Seeded,Jarmila Gajdosova,2,0,18,28,0,29,51,22,6,4,17,43,42,77,41,33,0,75,51,116.196377,103.768957,83.885085,0.666666667,0.647058824,22,0.568627451,2,1,0
2146.AUS.2012,AUS,1,310290,2146,0,Not Seeded,Stephanie Dubois,3,0,27,3,6,47,87,61,3,5,34,66,5,56,42,45,38,NA,87,NA,NA,NA,0.6,0.517241379,0,0.540229885,2,1,0
