count,sensor,date,time,day,month,high_tmp,low_tmp,high_prcp
2412,Melbourne Central,2013-01-03,15,Thurs,Jan,hot,not,none
1481,Flinders Street Station Underpass,2013-01-03,16,Thurs,Jan,hot,not,none
2160,Melbourne Central,2013-01-03,16,Thurs,Jan,hot,not,none
1787,Flinders Street Station Underpass,2013-01-03,17,Thurs,Jan,hot,not,none
2285,Melbourne Central,2013-01-03,17,Thurs,Jan,hot,not,none
1350,Flinders Street Station Underpass,2013-01-03,18,Thurs,Jan,hot,not,none
2197,Melbourne Central,2013-01-03,18,Thurs,Jan,hot,not,none
1043,Flinders Street Station Underpass,2013-01-03,19,Thurs,Jan,hot,not,none
1908,Melbourne Central,2013-01-03,19,Thurs,Jan,hot,not,none
838,Flinders Street Station Underpass,2013-01-03,20,Thurs,Jan,hot,not,none
1554,Melbourne Central,2013-01-03,20,Thurs,Jan,hot,not,none
845,Flinders Street Station Underpass,2013-01-03,21,Thurs,Jan,hot,not,none
1552,Melbourne Central,2013-01-03,21,Thurs,Jan,hot,not,none
828,Flinders Street Station Underpass,2013-01-03,22,Thurs,Jan,hot,not,none
1159,Melbourne Central,2013-01-03,22,Thurs,Jan,hot,not,none
557,Flinders Street Station Underpass,2013-01-03,23,Thurs,Jan,hot,not,none
721,Melbourne Central,2013-01-03,23,Thurs,Jan,hot,not,none
286,Flinders Street Station Underpass,2013-01-04,0,Fri,Jan,hot,not,none
475,Melbourne Central,2013-01-04,0,Fri,Jan,hot,not,none
133,Flinders Street Station Underpass,2013-01-04,1,Fri,Jan,hot,not,none
169,Melbourne Central,2013-01-04,1,Fri,Jan,hot,not,none
60,Flinders Street Station Underpass,2013-01-04,2,Fri,Jan,hot,not,none
63,Melbourne Central,2013-01-04,2,Fri,Jan,hot,not,none
10,Flinders Street Station Underpass,2013-01-04,3,Fri,Jan,hot,not,none
30,Melbourne Central,2013-01-04,3,Fri,Jan,hot,not,none
27,Flinders Street Station Underpass,2013-01-04,4,Fri,Jan,hot,not,none
35,Melbourne Central,2013-01-04,4,Fri,Jan,hot,not,none
47,Flinders Street Station Underpass,2013-01-04,5,Fri,Jan,hot,not,none
45,Melbourne Central,2013-01-04,5,Fri,Jan,hot,not,none
202,Flinders Street Station Underpass,2013-01-04,6,Fri,Jan,hot,not,none
92,Melbourne Central,2013-01-04,6,Fri,Jan,hot,not,none
578,Flinders Street Station Underpass,2013-01-04,7,Fri,Jan,hot,not,none
215,Melbourne Central,2013-01-04,7,Fri,Jan,hot,not,none
1137,Flinders Street Station Underpass,2013-01-04,8,Fri,Jan,hot,not,none
432,Melbourne Central,2013-01-04,8,Fri,Jan,hot,not,none
891,Flinders Street Station Underpass,2013-01-04,9,Fri,Jan,hot,not,none
594,Melbourne Central,2013-01-04,9,Fri,Jan,hot,not,none
693,Flinders Street Station Underpass,2013-01-04,10,Fri,Jan,hot,not,none
818,Melbourne Central,2013-01-04,10,Fri,Jan,hot,not,none
897,Flinders Street Station Underpass,2013-01-04,11,Fri,Jan,hot,not,none
510,Melbourne Central,2013-01-04,11,Fri,Jan,hot,not,none
1195,Flinders Street Station Underpass,2013-01-04,12,Fri,Jan,hot,not,none
1467,Melbourne Central,2013-01-04,12,Fri,Jan,hot,not,none
1150,Flinders Street Station Underpass,2013-01-04,13,Fri,Jan,hot,not,none
1912,Melbourne Central,2013-01-04,13,Fri,Jan,hot,not,none
1000,Flinders Street Station Underpass,2013-01-04,14,Fri,Jan,hot,not,none
1804,Melbourne Central,2013-01-04,14,Fri,Jan,hot,not,none
1037,Flinders Street Station Underpass,2013-01-04,15,Fri,Jan,hot,not,none
1816,Melbourne Central,2013-01-04,15,Fri,Jan,hot,not,none
1245,Flinders Street Station Underpass,2013-01-04,16,Fri,Jan,hot,not,none
1868,Melbourne Central,2013-01-04,16,Fri,Jan,hot,not,none
1578,Flinders Street Station Underpass,2013-01-04,17,Fri,Jan,hot,not,none
2006,Melbourne Central,2013-01-04,17,Fri,Jan,hot,not,none
1161,Flinders Street Station Underpass,2013-01-04,18,Fri,Jan,hot,not,none
1894,Melbourne Central,2013-01-04,18,Fri,Jan,hot,not,none
870,Flinders Street Station Underpass,2013-01-04,19,Fri,Jan,hot,not,none
1737,Melbourne Central,2013-01-04,19,Fri,Jan,hot,not,none
801,Flinders Street Station Underpass,2013-01-04,20,Fri,Jan,hot,not,none
1747,Melbourne Central,2013-01-04,20,Fri,Jan,hot,not,none
901,Flinders Street Station Underpass,2013-01-04,21,Fri,Jan,hot,not,none
2022,Melbourne Central,2013-01-04,21,Fri,Jan,hot,not,none
1075,Flinders Street Station Underpass,2013-01-04,22,Fri,Jan,hot,not,none
1529,Melbourne Central,2013-01-04,22,Fri,Jan,hot,not,none
742,Flinders Street Station Underpass,2013-01-04,23,Fri,Jan,hot,not,none
1064,Melbourne Central,2013-01-04,23,Fri,Jan,hot,not,none
478,Flinders Street Station Underpass,2013-01-05,0,Sat,Jan,not,not,none
746,Melbourne Central,2013-01-05,0,Sat,Jan,not,not,none
195,Flinders Street Station Underpass,2013-01-05,1,Sat,Jan,not,not,none
343,Melbourne Central,2013-01-05,1,Sat,Jan,not,not,none
104,Flinders Street Station Underpass,2013-01-05,2,Sat,Jan,not,not,none
156,Melbourne Central,2013-01-05,2,Sat,Jan,not,not,none
40,Flinders Street Station Underpass,2013-01-05,3,Sat,Jan,not,not,none
94,Melbourne Central,2013-01-05,3,Sat,Jan,not,not,none
53,Flinders Street Station Underpass,2013-01-05,4,Sat,Jan,not,not,none
52,Melbourne Central,2013-01-05,4,Sat,Jan,not,not,none
40,Flinders Street Station Underpass,2013-01-05,5,Sat,Jan,not,not,none
35,Melbourne Central,2013-01-05,5,Sat,Jan,not,not,none
77,Flinders Street Station Underpass,2013-01-05,6,Sat,Jan,not,not,none
51,Melbourne Central,2013-01-05,6,Sat,Jan,not,not,none
182,Flinders Street Station Underpass,2013-01-05,7,Sat,Jan,not,not,none
199,Melbourne Central,2013-01-05,7,Sat,Jan,not,not,none
311,Flinders Street Station Underpass,2013-01-05,8,Sat,Jan,not,not,none
371,Melbourne Central,2013-01-05,8,Sat,Jan,not,not,none
503,Flinders Street Station Underpass,2013-01-05,9,Sat,Jan,not,not,none
369,Melbourne Central,2013-01-05,9,Sat,Jan,not,not,none
704,Flinders Street Station Underpass,2013-01-05,10,Sat,Jan,not,not,none
697,Melbourne Central,2013-01-05,10,Sat,Jan,not,not,none
941,Flinders Street Station Underpass,2013-01-05,11,Sat,Jan,not,not,none
605,Melbourne Central,2013-01-05,11,Sat,Jan,not,not,none
1282,Flinders Street Station Underpass,2013-01-05,12,Sat,Jan,not,not,none
931,Melbourne Central,2013-01-05,12,Sat,Jan,not,not,none
1281,Flinders Street Station Underpass,2013-01-05,13,Sat,Jan,not,not,none
1764,Melbourne Central,2013-01-05,13,Sat,Jan,not,not,none
1401,Flinders Street Station Underpass,2013-01-05,14,Sat,Jan,not,not,none
1925,Melbourne Central,2013-01-05,14,Sat,Jan,not,not,none
1436,Flinders Street Station Underpass,2013-01-05,15,Sat,Jan,not,not,none
2158,Melbourne Central,2013-01-05,15,Sat,Jan,not,not,none
1365,Flinders Street Station Underpass,2013-01-05,16,Sat,Jan,not,not,none
2055,Melbourne Central,2013-01-05,16,Sat,Jan,not,not,none
1288,Flinders Street Station Underpass,2013-01-05,17,Sat,Jan,not,not,none
2060,Melbourne Central,2013-01-05,17,Sat,Jan,not,not,none
1229,Flinders Street Station Underpass,2013-01-05,18,Sat,Jan,not,not,none
2297,Melbourne Central,2013-01-05,18,Sat,Jan,not,not,none
1064,Flinders Street Station Underpass,2013-01-05,19,Sat,Jan,not,not,none
2043,Melbourne Central,2013-01-05,19,Sat,Jan,not,not,none
868,Flinders Street Station Underpass,2013-01-05,20,Sat,Jan,not,not,none
1824,Melbourne Central,2013-01-05,20,Sat,Jan,not,not,none
818,Flinders Street Station Underpass,2013-01-05,21,Sat,Jan,not,not,none
1764,Melbourne Central,2013-01-05,21,Sat,Jan,not,not,none
963,Flinders Street Station Underpass,2013-01-05,22,Sat,Jan,not,not,none
